,album_id,name,release_date,total_tracks,url
0,2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),2022-08-25,1,https://open.spotify.com/album/2b2GHWESCWEuHiCZ2Skedp
1,7khRLZe8P6XcUoRgOa3nnf,Malang Sajna,2022-12-19,1,https://open.spotify.com/album/7khRLZe8P6XcUoRgOa3nnf
2,1Q9SnHWPNEjVM0LrBFvJ1q,Bones,2022-03-11,1,https://open.spotify.com/album/1Q9SnHWPNEjVM0LrBFvJ1q
3,2eV6DIPDnGl1idcjww6xyX,This Is Acting (Deluxe Version),2016-10-21,19,https://open.spotify.com/album/2eV6DIPDnGl1idcjww6xyX
4,6BHlJhCk1vjCG6hqTG2SFV,Kahani Suno 2.0,2022-05-31,1,https://open.spotify.com/album/6BHlJhCk1vjCG6hqTG2SFV
5,7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),2022-04-22,1,https://open.spotify.com/album/7ARtQpvnPN2ucbmVHngLOs
6,5letLUZIFsQikJYShfGNs4,The Beginning: Cupid,2023-02-24,3,https://open.spotify.com/album/5letLUZIFsQikJYShfGNs4
7,6cVfHBcp3AdpYY0bBglkLN,Boy's a liar Pt. 2,2023-02-03,2,https://open.spotify.com/album/6cVfHBcp3AdpYY0bBglkLN
8,4cAAsw7mPkGt15GXQzWlrM,Players,2022-11-30,1,https://open.spotify.com/album/4cAAsw7mPkGt15GXQzWlrM
9,5Hmh6N8oisrcuZKa8EY5dn,People,2022-12-06,1,https://open.spotify.com/album/5Hmh6N8oisrcuZKa8EY5dn
10,5uAi4ZZc7zRdd6PsKNcJXO,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023-02-01,1,https://open.spotify.com/album/5uAi4ZZc7zRdd6PsKNcJXO
11,2pqdSWeJVsXAhHFuVLzuA8,As It Was,2022-03-31,1,https://open.spotify.com/album/2pqdSWeJVsXAhHFuVLzuA8
12,0gX9tkL5njRax8ymWcXARi,Unholy (feat. Kim Petras),2022-09-22,1,https://open.spotify.com/album/0gX9tkL5njRax8ymWcXARi
13,3okhA6w5uau6ZNhnVpwVww,Indigo (Extended),2019-10-04,42,https://open.spotify.com/album/3okhA6w5uau6ZNhnVpwVww
14,6FgtuX3PtiB5civjHYhc52,Safe Haven,2017-05-05,12,https://open.spotify.com/album/6FgtuX3PtiB5civjHYhc52
