,artist_id,artist_name,artist_url
0,46pWGuE3dSwY3bMMXGBvVS,Rema,https://api.spotify.com/v1/artists/46pWGuE3dSwY3bMMXGBvVS
1,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx
2,6WOdPJmexxFINcKMkP2jMG,Sachet Tandon,https://api.spotify.com/v1/artists/6WOdPJmexxFINcKMkP2jMG
3,1E6arsXf5Fgsnv9YpSzjpE,Parampara Tandon,https://api.spotify.com/v1/artists/1E6arsXf5Fgsnv9YpSzjpE
4,0m3D4grap8VFSzbJMqgNVk,Kumaar,https://api.spotify.com/v1/artists/0m3D4grap8VFSzbJMqgNVk
5,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q
6,5WUlDfRSoLAfcVSX1WnrxN,Sia,https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN
7,1n9EM0Y4A89vuRiA93gSS9,Kaifi Khalil,https://api.spotify.com/v1/artists/1n9EM0Y4A89vuRiA93gSS9
8,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,https://api.spotify.com/v1/artists/5XKFrudbV4IiuE5WuTPRmT
9,7o2ZQYM7nTsaVdkXY38UAA,Em Beihold,https://api.spotify.com/v1/artists/7o2ZQYM7nTsaVdkXY38UAA
10,4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,https://api.spotify.com/v1/artists/4GJ6xDCF5jaUqD6avOuQT6
11,78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,https://api.spotify.com/v1/artists/78rUTD7y6Cy67W1RVzYs7t
12,3LZZPxNDGDFVSIPqf4JuEf,Ice Spice,https://api.spotify.com/v1/artists/3LZZPxNDGDFVSIPqf4JuEf
13,6AMd49uBDJfhf30Ak2QR5s,Coi Leray,https://api.spotify.com/v1/artists/6AMd49uBDJfhf30Ak2QR5s
14,7kjSuFGKhLm8b5qXoMhRkJ,Libianca,https://api.spotify.com/v1/artists/7kjSuFGKhLm8b5qXoMhRkJ
15,1wRPtKGflJrBx9BmLsSwlU,Pritam,https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU
16,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw
17,2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,https://api.spotify.com/v1/artists/2fMqTqiTxUDlmcOEPaQSsx
18,3tPQOjkxO3mrYrrgkTeXgH,Nikhita Gandhi,https://api.spotify.com/v1/artists/3tPQOjkxO3mrYrrgkTeXgH
19,6KImCVD70vtIoJWnq6nGn3,Harry Styles,https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3
20,2wY79sveU1sp5g7SokKOiI,Sam Smith,https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI
21,3Xt3RrJMFv5SZkCfUE8C1J,Kim Petras,https://api.spotify.com/v1/artists/3Xt3RrJMFv5SZkCfUE8C1J
22,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z
23,2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,https://api.spotify.com/v1/artists/2WzaAvm2bBCf4pEhyuDgCY
24,46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,https://api.spotify.com/v1/artists/46xBNx0j6cwY6sD9LgMTm1
25,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ
26,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,https://api.spotify.com/v1/artists/4AK6F7OLvEQ5QYCBNiQWHq
27,67MNhiAICFY6Pwc2YxCO0K,Elley Duhé,https://api.spotify.com/v1/artists/67MNhiAICFY6Pwc2YxCO0K
28,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,https://api.spotify.com/v1/artists/2tIP7SsRs7vjIcLrU85W8J
29,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s
30,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,https://api.spotify.com/v1/artists/5IH6FPUwQTxPSXurCrcIov
32,5NHm4TU5Twz7owibYxJfFU,King,https://api.spotify.com/v1/artists/5NHm4TU5Twz7owibYxJfFU
33,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we
34,6QrQ7OrISRYIfS5mtacaw2,Jaymes Young,https://api.spotify.com/v1/artists/6QrQ7OrISRYIfS5mtacaw2
38,3Isy6kedDrgPYoTS1dazA9,Sean Paul,https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9
40,6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,https://api.spotify.com/v1/artists/6Mv8GjQa7LKUGCAqa9qqdb
42,3FgHkfb3IqG4WKuVe1xCXM,Sukriti Kakar,https://api.spotify.com/v1/artists/3FgHkfb3IqG4WKuVe1xCXM
43,6CXEwIaXYfVJ84biCxqc9k,Vishal Dadlani,https://api.spotify.com/v1/artists/6CXEwIaXYfVJ84biCxqc9k
44,4xd7mLI7urqrxELaXhAvzw,Shekhar Ravjiani,https://api.spotify.com/v1/artists/4xd7mLI7urqrxELaXhAvzw
46,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq
47,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ
48,048LktY5zMnakWq7PTtFrz,CKay,https://api.spotify.com/v1/artists/048LktY5zMnakWq7PTtFrz
49,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7
50,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc
51,3Nrfpe0tUJi4K4DXYWgMUX,BTS,https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX
